Vertex 1,Vertex 2,Dollar Value,Partner Type,Country,Activity Level
Global Lambda Integrated Facility,TERENA-Europe,Unkown,Network,EU,
Global Lambda Integrated Facility,CIENA,Unkown,Industry,US,
Global Lambda Integrated Facility,King Abdullah University of Science and Technology,Unkown,Academic,SA,
Global Lambda Integrated Facility,TransLight-NSF,Unkown,Network,US,
Global Lambda Integrated Facility,CISCO,Unkown,Industry,US,
Global Lambda Integrated Facility,KRLight-Korea,Unkown,Network,Korea,
Global Lambda Integrated Facility,TWAREN-Taiwan,Unkown,Network,Taiwan,
Global Lambda Integrated Facility,CPqD-Brazil,Unkown,Academic,Brazil,
Global Lambda Integrated Facility,MIT,Unkown,Academic,US,
Global Lambda Integrated Facility,University of Amsterdam,Unkown,Academic,Netherlands,
Global Lambda Integrated Facility,CSTNET-China,Unkown,Network,China,
Global Lambda Integrated Facility,MCNC-North Carolina,Unkown,Academic,US,
Global Lambda Integrated Facility,EVL-UIUC,Unkown,Academic,US,
Global Lambda Integrated Facility,DFN-Germany,Unkown,Academic,Germany,
Global Lambda Integrated Facility,MAX-Mid Atlantic,Unkown,Academic,US,
Global Lambda Integrated Facility,University College London,Unkown,Academic,UK,
Global Lambda Integrated Facility,E-ARENA-Russia,Unkown,Network,Russia,
Global Lambda Integrated Facility,NLR,Unkown,Network,US,
Global Lambda Integrated Facility,University of Maryland,Unkown,Academic,US,
Global Lambda Integrated Facility,ESNET,Unkown,Network,US,
Global Lambda Integrated Facility,Naval Postgraduate School,Unkown,Academic,US,
Global Lambda Integrated Facility,University of Washington,Unkown,Academic,US,
Global Lambda Integrated Facility,Extreme Networks,Unkown,Industry,US,
Global Lambda Integrated Facility,NorthWestern,Unkown,Network,US,
Global Lambda Integrated Facility,UltraLight-US/CERN,Unkown,Network,US,
Global Lambda Integrated Facility,FAST-California Institute of Technology,Unkown,Academic,US,
Global Lambda Integrated Facility,NSF-CISE,Unkown,Government,US,
Global Lambda Integrated Facility,USLHCNet,Unkown,Network,US,
Global Lambda Integrated Facility,Fermilab,Unkown,Network,US,
Global Lambda Integrated Facility,NetherLight,Unkown,Network,Netherlands,
Global Lambda Integrated Facility,WIDE-Japan,Unkown,Network,Japan,
Global Lambda Integrated Facility,Global Netwave,Unkown,Network,US,
Global Lambda Integrated Facility,NORDUnet,Unkown,Network,Netherlands,
Pacific Northwest Gigapop,CENIC,Unkown,Network,US,
Pacific Northwest Gigapop,CANARIE-Canada,Unkown,Network,Canada,
Pacific Northwest Gigapop,StarLight,Unkown,Network,US,
Pacific Northwest Gigapop,Internet 2,Unkown,Organization,US,
Pacific Northwest Gigapop,Indiana University,Unkown,Academic,US,
Pacific Northwest Gigapop,SURA,Unkown,Network,US,
Pacific Northwest Gigapop,NLR,Unkown,Network,US,
MCS-Argonnne National Laboratory,Indiana University,Unkown,Academic,US,
MCS-Argonnne National Laboratory,StarLight,Unkown,Academic,US,
MCS-Argonnne National Laboratory,Internet 2,Unkown,Academic,US,
MCS-Argonnne National Laboratory,NLR,Unkown,Academic,US,
MCS-Argonnne National Laboratory,TeraGrid-NSF,Unkown,Government,US,
Pacific Northwest Gigapop,TransLight-NSF,Unkown,Government,US,
MCS-Argonnne National Laboratory,NorthWestern,Unkown,Academic,US,
MCS-Argonnne National Laboratory,NSF-CISE,Unkown,Government,US,
MCS-Argonnne National Laboratory,NorthWestern,Unkown,Government,US,
MCS-Argonnne National Laboratory,Fermilab,Unkown,Academic,US,
CANARIE-Canada,StarLight,Unkown,Network,US,
CANARIE-Canada,CENIC,Unkown,Network,US,
CANARIE-Canada,Internet 2,Unkown,Network,US,
CANARIE-Canada,CISCO,Unkown,Academic,US,
CANARIE-Canada,EVL-UIUC,Unkown,Academic,US,
MCS-Argonnne National Laboratory,EVL-UIUC,Unkown,Academic,US,
CANARIE-Canada,CENIC,Unkown,Network,Canada,
StarLight,SARA-Norway,Unkown,Network,Netherlands,
StarLight,AAARNet-Australia,Unkown,Network,Australia,
StarLight,GLORIAD,Unkown,Network,US,
StarLight,SurfNet-Netherlands,Unkown,Network,Netherlands,
StarLight,CERNET-China,Unkown,Network,China,
StarLight,Janet-UK,Unkown,Network,UK,
StarLight,TeraGrid-NSF,Unkown,Network,US,
StarLight,CESNET-Czechoslovakia,Unkown,Network,Czech,
StarLight,"Juniper Networks, Inc",Unkown,Network,US,
StarLight,TERENA-Europe,Unkown,Network,EU,
StarLight,CIENA,Unkown,Network,US,
StarLight,TransLight-NSF,Unkown,Network,US,
StarLight,CISCO,Unkown,Network,US,
StarLight,KRLight-Korea,Unkown,Network,Korea,
StarLight,FAST-California Institute of Technology,Unkown,Network,US,
StarLight,NSF-CISE,Unkown,Network,US,
StarLight,USLHCNet,Unkown,Network,US,
StarLight,NetherLight,Unkown,Network,Netherlands,
StarLight,WIDE-Japan,Unkown,Network,Japan,
StarLight,Global Netwave,Unkown,Network,US,
StarLight,NORDUnet,Unkown,Network,Netherlands,
Indiana University,NorthWestern,Unkown,Academic,US,
Indiana University,University of Maryland,Unkown,Academic,US,
Indiana University,NLR,Unkown,Academic,US,
Indiana University,NorthWestern,Unkown,Academic,US,
Indiana University,TeraGrid-NSF,Unkown,Academic,US,
Indiana University,NSF-CISE,Unkown,Academic,US,
Indiana University,University of Washington,Unkown,Academic,US,
Calit2 UCSD,University of Maryland,Unkown,Academic,US,
Calit2 UCSD,NLR,Unkown,Academic,US,
Calit2 UCSD,NorthWestern,Unkown,Academic,US,
Calit2 UCSD,TeraGrid-NSF,Unkown,Academic,US,
Calit2 UCSD,NSF-CISE,Unkown,Academic,US,
Calit2 UCSD,University of Washington,Unkown,Academic,US,
Calit2 UCSD,Cisco,Unkown,Industry,US,
Calit2 UCSD,"Juniper Networks, Inc",Unkown,Industry,US,
Calit2 UCSD,Cinegrid,Unknown,Organization,US,
Cinegrid,Academy of Motion Picture Arts and Science,Unknown,Not for Profit,US,b
Cinegrid,California Academy of Sciences,Unknown,Not for Profit,US,c
Cinegrid,Calit2,Unknown,Academic,US,a
Cinegrid,Cisco ,Unknown,Industry,US,b
Cinegrid,CPqD-Brazil,Unknown,Industry,Brazil,b
Cinegrid,Cyberport,Unknown,Industry,US,c
Cinegrid,Dark Strand,Unknown,Industry,US,d
Cinegrid,Digital Domain,Unknown,Industry,US,d
Cinegrid,EVL-UIUC,Unknown,Academic,US,a
Cinegrid,I2cat-Spain,Unknown,Industry,Spain,d
Cinegrid,INGI-San Francisco State University,Unknown,Academic,US,d
Cinegrid,IntoPIX,Unknown,Industry,Japan,b
Cinegrid,JVC America,Unknown,Industry,US,b
Cinegrid,KAIST,Unknown,Academic,Korea,d
Cinegrid,Keio University DMC,Unknown,Academic,Japan,a
Cinegrid,King Abdullah University of Science and Technology,Unknown,Academic,SA,c
Cinegrid,KTH Royal Insitute of Techology,Unknown,Academic,Sweden,d
Cinegrid,Louisiana State University ,Unknown,Academic,US,c
Cinegrid,Lucasfilm,Unknown,Industry,US,b
Calit2 UCSD,Lucasfilm,Unknown,Industry,US,b
Cinegrid,MacKenzie,Unknown,Industry,US,c
Cinegrid,Mechdyne Corporation,Unknown,Industry,US,c
Cinegrid,Meyer Sound Lab,Unknown,Industry,US,c
Calit2 UCSD,Meyer Sound Lab,Unknown,Industry,US,c
Cinegrid,Naval Postgraduate School,Unknown,Academic,US,b
Calit2 UCSD,Naval Postgraduate School,Unknown,Academic,US,b
Cinegrid,NCSA-Illinois,Unknown,Academic,US,b
