Vertex1,Vertex2,Abbreviation,DollarValue,PartnerType,Country,ActivityLevel,DefaultOn
Global Lambda Integrated Facility,CANARIE-Canada,CANARIE,Unknown,Network,US,,
Global Lambda Integrated Facility,CENIC,CENIC,Unknown,Network,US,,
Global Lambda Integrated Facility,CERN,CERN,Unknown,Academic,US,,
Global Lambda Integrated Facility,CERNET-China,CERNET,Unknown,Network,China,,
Global Lambda Integrated Facility,CESNET-Czechoslovakia,CESNET,Unknown,Network,Czech,,
Global Lambda Integrated Facility,CIENA,CIENA,Unknown,Industry,US,,
Global Lambda Integrated Facility,CISCO,CISCO,Unknown,Industry,US,,
Global Lambda Integrated Facility,CPqD-Brazil,CPqD,Unknown,Academic,Brazil,,
Global Lambda Integrated Facility,CSTNET-China,CSTNET,Unknown,Network,China,,
Global Lambda Integrated Facility,DFN-Germany,DFN,Unknown,Academic,Germany,,
Global Lambda Integrated Facility,E-ARENA-Russia,E-ARENA,Unknown,Network,Russia,,
Global Lambda Integrated Facility,ESNET,ESNET,Unknown,Network,US,,
Global Lambda Integrated Facility,EVL-UIUC,EVL,Unknown,Academic,US,,
Global Lambda Integrated Facility,Extreme Networks,ExtremeNet,Unknown,Industry,US,,
Global Lambda Integrated Facility,FAST-California Institute of Technology,FAST,Unknown,Academic,US,,
Global Lambda Integrated Facility,Fermilab,Fermilab,Unknown,Network,US,,
Global Lambda Integrated Facility,GLORIAD,GLORIAD,Unknown,Network,US,,
Global Lambda Integrated Facility,Global Netwave,Global Netwave,Unknown,Network,US,,
Global Lambda Integrated Facility,HEAnet-Ireland,HEAnet,Unknown,Network,Ireland,,
Global Lambda Integrated Facility,Internet 2,I2,Unknown,Network,US,,
Global Lambda Integrated Facility,I2cat-Spain,I2Cat,Unknown,Academic,Spain,,
Global Lambda Integrated Facility,iCAIR,iCAIR,Unknown,Network,US,,
Global Lambda Integrated Facility,International Educational Equal Access Foundation,IEEAF,Unknown,Not for Profit,,,
Global Lambda Integrated Facility,Indiana University,Indiana U,Unknown,Academic,US,,
Global Lambda Integrated Facility,Janet-UK,JANET,Unknown,Network,UK,,
Global Lambda Integrated Facility,JGN-II-Japan,JGN,Unknown,Network,Japan,,
Global Lambda Integrated Facility,"Juniper Networks, Inc",Juniper Networks,Unknown,Industry,US,,
Global Lambda Integrated Facility,King Abdullah University of Science and Technology,KAUST,Unknown,Academic,Saudi Arabia,,
Global Lambda Integrated Facility,KRLight-Korea,KRLight,Unknown,Network,Korea,,
Global Lambda Integrated Facility,MAX-Mid Atlantic,MAX,Unknown,Academic,US,,
Global Lambda Integrated Facility,MCNC-North Carolina,MCNC,Unknown,Academic,US,,
Global Lambda Integrated Facility,MCS-Argonnne National Laboratory,MCS,Unknown,Government,US,,
Global Lambda Integrated Facility,MIT,MIT,Unknown,Academic,US,,
Global Lambda Integrated Facility,NetherLight,NetherLight,Unknown,Network,Netherlands,,
Global Lambda Integrated Facility,NLR,NLR,Unknown,Network,US,,
Global Lambda Integrated Facility,NORDUnet,NORDUnet,Unknown,Network,Netherlands,,
Global Lambda Integrated Facility,Naval Postgraduate School,NPS,Unknown,Academic,US,,
Global Lambda Integrated Facility,NSF-CISE,NSF,Unknown,Government,US,,
Global Lambda Integrated Facility,NorthWestern,Nwestern,Unknown,Network,US,,
Global Lambda Integrated Facility,Pacific Northwest Gigapop,PNGigapop,Unknown,Network,US,,
Global Lambda Integrated Facility,Poznan Superocmputing and Networking Center,PSNC,Unknown,Academic,Poland,,
Global Lambda Integrated Facility,RIPN-Russia,RIPN,Unknown,Academic,Russia,,
Global Lambda Integrated Facility,RNP-Brazil,RNP,Unknown,Network,Brazil,,
Global Lambda Integrated Facility,SARA-Norway,SARA,Unknown,Network,Norway,,
Global Lambda Integrated Facility,StarLight,StarLight,Unknown,Network,US,,
Global Lambda Integrated Facility,SURA,SURA,Unknown,Network,US,,
Global Lambda Integrated Facility,SurfNet-Netherlands,SurfNet,Unknown,Network,Netherlands,,
Global Lambda Integrated Facility,TeraGrid-NSF,TeraGrid,Unknown,Government,US,,
Global Lambda Integrated Facility,TERENA-Europe,TERENA,Unknown,Network,EU,,
Global Lambda Integrated Facility,TransLight-NSF,TransLIght,Unknown,Network,US,,
Global Lambda Integrated Facility,TWAREN-Taiwan,TWAREN,Unknown,Network,Taiwan,,
Global Lambda Integrated Facility,University of Amsterdam,Uamsterdam,Unknown,Academic,Netherlands,,
Global Lambda Integrated Facility,UltraLight-US/CERN,UltraLight,Unknown,Network,US,,
Global Lambda Integrated Facility,University of Maryland,Umaryland,Unknown,Academic,US,,
Global Lambda Integrated Facility,University College London,UnivCollege,Unknown,Academic,UK,,
Global Lambda Integrated Facility,USLHCNet,USLHCNET,Unknown,Network,US,,
Global Lambda Integrated Facility,University of Washington,Uwashington,Unknown,Academic,US,,
Global Lambda Integrated Facility,WIDE-Japan,WIDE,Unknown,Network,Japan,,
Indiana University,NLR,NLR,Unknown,Academic,US,,
Indiana University,NSF-CISE,NSF,Unknown,Academic,US,,
Indiana University,NorthWestern,Nwestern,Unknown,Academic,US,,
Indiana University,NorthWestern,Nwestern,Unknown,Academic,US,,
Indiana University,TeraGrid-NSF,TeraGrid,Unknown,Academic,US,,
Indiana University,University of Maryland,Umaryland,Unknown,Academic,US,,
Indiana University,University of Washington,Uwashington,Unknown,Academic,US,,
MCS-Argonnne National Laboratory,EVL-UIUC,EVL,Unknown,Academic,US,,
MCS-Argonnne National Laboratory,Fermilab,Fermliab,Unknown,Academic,US,,
MCS-Argonnne National Laboratory,Internet 2,I2,Unknown,Academic,US,,
MCS-Argonnne National Laboratory,Indiana University,Indiana U,Unknown,Academic,US,,
MCS-Argonnne National Laboratory,NLR,NLR,Unknown,Academic,US,,
MCS-Argonnne National Laboratory,NSF-CISE,NSF,Unknown,Government,US,,
MCS-Argonnne National Laboratory,NorthWestern,Nwestern,Unknown,Academic,US,,
MCS-Argonnne National Laboratory,NorthWestern,Nwestern,Unknown,Government,US,,
MCS-Argonnne National Laboratory,StarLight,StarLight,Unknown,Academic,US,,
MCS-Argonnne National Laboratory,TeraGrid-NSF,TeraGrid,Unknown,Government,US,,
NTT,Cinepost-Prague,Cinepost,Unknown,Industry,Czech,,
NTT,EVL-UIUC,EVL,Unknown,Academic,US,a,
NTT,Naval Postgraduate School,NPS,Unknown,Academic,US,b,
NTT,Tohoku University,TohokuU,Unknown,Academic,Japan,,
NTT,University of Amsterdam,Uamsterdam,Unknown,Academic,Netherlands,a,
NTT,University of Southern California,USC,Unknown,Academic,US,c,
NTT ,Pacific Interface Inc,Pacific Interface,Unknown,Industry,US,,
Pacific Northwest Gigapop,CANARIE-Canada,CANARIE,Unknown,Network,Canada,,
Pacific Northwest Gigapop,CENIC,CENIC,Unknown,Network,US,,
Pacific Northwest Gigapop,Internet 2,I2,Unknown,Calit2,US,,
Pacific Northwest Gigapop,Indiana University,Indiana U,Unknown,Academic,US,,
Pacific Northwest Gigapop,NLR,NLR,Unknown,Network,US,,
Pacific Northwest Gigapop,StarLight,StarLight,Unknown,Network,US,,
Pacific Northwest Gigapop,SURA,SURA,Unknown,Network,US,,
Pacific Northwest Gigapop,TransLight-NSF,TransLight,Unknown,Government,US,,
PRAGMA,Academia Sinica Grid Computing Center-Taiwan,Academic Sinica,Unknown,Academic,Taiwan,c,
PRAGMA,Asia Pacific Advanced Network-Japan,APAN,Unknown,Network,Japan,d,
PRAGMA,Advanced Science and Technology Institute-Phillipines,ASTI,Unknown,Academic,Phillipines,c,
PRAGMA,BestGrid New Zealand,BestGrid,Unknown,Network,New Zeland,c,
PRAGMA,Bioinformatics Institute Singapore (BII,BII,Unknown,Academic,Singapore,E,
PRAGMA,"Computer Network Information Center, Chinese Academy of Sciences",CAAS,Unknown,Academic,China,b,
PRAGMA,Calit2 UCSD,Calit2,Unknown,Calit2,US,a,
PRAGMA,CeNAT-ITCR,CeNAT,Unknown,Academic,CR,c,
